,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19y1,y2,y3,k,y1,x19
2011-01-03,181.37,,0,0,0,0,,,,,,,,,,,,,,,1.040194078403264,0.9080884379996691,,1.0202348789766775,
2011-01-04,186.15,,0,0,0,0,,,,,,,,,,,,,,,1.0255170561375235,0.8912704807950577,,0.9960784313725489,
2011-01-05,184.1,,0,0,0,0,,,,,,,,,,,,,,,1.0064638783269961,0.875556762629006,,1.0068441064638785,
2011-01-06,186.5,,0,0,0,0,,,,,,,,,,,,,,,0.9812332439678284,0.8759785522788204,,0.9844504021447721,
2011-01-07,187.88,,0,0,0,0,,,,,,,,,,,,,,,0.947147115179902,0.8732701724505003,,0.9873323397913563,
2011-01-10,185.04,,0,0,0,0,,,,,,,,,,,,,,,0.948443579766537,0.8771076523994813,,1.0195633376567228,
2011-01-11,185.42,,0,0,0,0,0.3774,,,,,,,,,,,,,,0.9573400927623773,0.9071836910797111,,1.0295545248624745,
2011-01-12,185.36,,0,0,0,0,-0.04,,,,,,,,,,,,,,0.9574881312041431,0.9259818731117824,,0.9996223564954682,
2011-01-13,183.6,,0,0,0,0,-0.3496,,,,,,,,,,,,,,0.9338235294117647,0.9357298474945535,,0.9967320261437909,
2011-01-14,185.5,,0,0,0,0,-0.5464,,,,,,,,,,,,,,0.9173045822102426,0.920377358490566,,0.959299191374663,
2011-01-18,188.66,,0,0,0,0,0.234,,,,,,,,,,,,,,0.9038481925156366,0.9423301176720026,,0.9302448849782678,
2011-01-19,190.9,,0,0,0,0,0.5312,,,,,,,,,,,,,,0.8979570455735987,0.9392875851231011,,0.9298585646935568,
2011-01-20,185.29,,0,0,0,0,0.6248,,,,,,,,,,,,,,0.9363700145717524,0.9799773328296185,,0.9578498569809488,
2011-01-21,183.0,,0,0,0,0,0.4138,0.0120787878788,,,,,,,,,,,,,0.9508196721311475,0.9884699453551912,,0.9368852459016392,
2011-01-24,177.95,,0,0,0,0,-1.1076,-0.0831272727273,,,,,,,,,,,,,0.9898847991008711,1.0233211576285475,,0.9562236583309919,
2011-01-25,175.5,,0,0,0,0,-1.6082,-0.169733333333,,,,,,,,,,,,,1.0066096866096865,1.0606837606837607,,0.9716239316239317,
2011-01-26,177.51,,0,0,0,0,-1.8104,-0.279606060606,,,,,,,,,,,,,1.0317728578671626,1.0296884682553096,,0.9656920736859895,
2011-01-27,177.48,,0,0,0,0,-1.6556,-0.413636363636,,,,,,,,,,,,,1.038933964390354,1.0438359251746676,,0.9775749380211856,
2011-01-28,171.45,,0,0,0,0,-1.5142,-0.594048484848,,,,,,,,,,,,,1.0822980460775737,1.078215223097113,,1.014873140857393,
2011-01-31,170.16,,0,0,0,0,-1.389,-1.14360606061,,,,,,,,,,,,,1.1121885284438175,1.0758110014104372,,1.035202162670428,
2011-02-01,170.52,,0,0,0,0,-1.2224,-1.26889090909,,,,,0.946565563487,,,,43.4384147368,,,,1.1067909922589725,1.0604621158808352,,1.036007506450856,
2011-02-02,171.42,,0,0,0,0,-1.0218,-1.32803030303,,,,,0.954789263494,,,,46.4276431579,,,,1.1070470190176176,1.0581612413954031,,1.068428421421071,
2011-02-03,173.5,,0,0,0,0,-0.6314,-1.31515757576,,,,,0.969615004163,,,,46.0954326316,,,,1.0707204610951009,1.043227665706052,,1.0627665706051872,
2011-02-04,174.0,,0,0,0,0,-0.0552,-1.23427272727,,,,,0.975544118142,,,,44.7632484211,,,,1.077816091954023,1.0251724137931035,,1.0664367816091953,
2011-02-07,176.15,,0,0,0,0,0.7304,-0.669296969697,,,,,0.997528123611,,,,32.7605186842,,,,1.0427476582458133,1.0124893556627874,,1.0743684359920522,
2011-02-08,176.66,,0,0,0,0,0.7726,-0.447242424242,,,,,1.00446625292,,,,21.4442155263,,,,1.0203215215668515,1.0280765311898563,,1.0683233329559605,
2011-02-09,183.15,,0,0,0,0,0.9786,-0.188460606061,,,,,1.04200150767,,,,19.5522302632,,,,0.9656565656565657,1.0076986076986076,,1.0361452361452361,
2011-02-10,184.39,,0,0,0,0,1.3434,0.0965575757576,-0.60312593985,,,,1.0486416397,,,,20.7070642105,,,,0.9704973154726395,1.006833342372146,,1.007484136883779,
2011-02-11,185.56,,0,0,0,0,1.7612,0.381818181818,-0.592302255639,,,,1.05452788907,,,,22.9649842105,,,,0.9372170726449666,1.003826255658547,,1.0106704031041172,
2011-02-14,189.25,,0,0,0,0,1.805,1.07754545455,-0.463079323308,,,,1.06823736601,,,,37.6156831579,,,,0.9169352708058124,0.9680317040951122,,0.9705680317040951,
2011-02-15,188.73,,0,0,0,0,1.45,1.24731515152,-0.391931578947,,,,1.0619394335,,,,44.3222905263,,,,0.8959359932178245,1.0383086949610556,,0.9550680866846819,
2011-02-16,189.77,,0,0,0,0,1.1508,1.35435151515,-0.310033082707,,,,1.06411194568,,,,51.5614239474,,,,0.9153712388681035,1.0242925646835643,,0.9319702798124045,
2011-02-17,185.77,,0,0,0,0,0.7654,1.39630909091,-0.22240037594,,,,1.03751692939,,,,51.4340513158,,,,0.9292135436292189,1.0581364052322764,,0.9632879366959142,
2011-02-18,187.54,,0,0,0,0,0.518,1.3774969697,-0.130081203008,,,,1.04271726983,,,,51.5022221053,,,,0.9167111016316519,1.071771355444172,,0.9273221712701291,
2011-02-22,183.68,,0,0,0,0,-0.3572,0.844393939394,0.25742406015,,,,1.00374601422,,,,34.2259418421,,,,0.9222016550522647,1.0793227351916377,,0.9447408536585366,
2011-02-23,180.25,,0,0,0,0,-0.5984,0.604296969697,0.341484962406,,,,0.983188968647,,,,29.7579747368,,,,0.9246601941747572,1.102135922330097,,0.9380859916782247,
2011-02-24,176.86,,0,0,0,1,-1.0792,0.315157575758,0.41190075188,,,,0.963946041695,,,,27.3575315789,,,,0.944645482302386,1.1257491801424855,,0.9821893022729843,
2011-02-25,178.95,,0,0,0,0,-1.5054,0.0212484848485,0.469084586466,,,,0.974023323218,,,,23.6456828947,,,,0.9248393405979325,1.1083542889075162,,0.9646269907795475,
2011-02-28,173.91,,0,0,0,1,-1.3964,-0.672951515152,0.536632330827,,,,0.945304325375,,,,20.4267355263,,,,0.9579667644183774,1.16117532056811,,0.9885572997527456,
2011-03-01,173.53,,0,0,0,1,-1.141,-0.856181818182,0.51605037594,,,,0.945711381726,,,,25.886845,,,,0.9300409151155419,1.1705180660404542,,0.976142453754394,
2011-03-02,169.09,,0,0,0,0,-1.1638,-1.03479393939,0.474022180451,,,,0.925372072469,0.943152328667,,,36.1442871053,39.8673789103,,,0.9740374948252409,1.2077591815009758,,0.9856880950972854,
2011-03-03,173.71,,0,0,0,0,-1.2546,-1.16520606061,0.415190601504,,,,0.953748339135,0.970178637751,,,39.6309936842,40.2535689744,,,0.9550975764204709,1.1841575038857866,,0.9617753727476829,
2011-03-04,172.62,,0,0,0,0,-1.2924,-1.23887878788,0.339860526316,,,,0.951142506075,0.965490239946,,,43.3366010526,40.8442974359,,,0.9337851929092804,1.1617425559031398,,0.9587533310161047,
2011-03-07,171.92,,0,0,0,0,-0.272,-1.16303030303,0.0572214285714,,,,0.959546347562,0.963434111351,,,43.9631852632,43.5470051282,,,0.9502675663099117,1.1157515123313169,,0.9690553745928339,
2011-03-08,169.39,,0,0,0,0,-0.1092,-1.09901818182,-0.0515045112782,,,,0.950833291234,0.950333183257,,,41.9863252632,45.5835589103,,,0.9685931873192043,1.1460534860381368,,0.9527717102544424,
2011-03-09,166.67,,0,0,0,0,-0.3638,-1.01865454545,-0.162286090226,,,,0.940607469779,0.935700420916,,,44.9046042105,47.8198635256,,,0.9737805243895123,1.1899562008759828,,0.9881802363952721,
2011-03-10,167.07,,0,0,0,0,-0.725,-0.931048484848,-0.272191729323,,,,0.948342656688,0.938523007352,,,43.5627418421,49.798388141,,,1.0068234871610704,1.1848327048542526,,0.9930568025378584,
2011-03-11,165.5,,0,0,0,0,-1.1476,-0.853454545455,-0.379593984962,,,,0.945344250965,0.930480982768,,,41.4735818421,52.6862358974,,,1.0370996978851963,1.181631419939577,,0.9739577039274925,
2011-03-14,166.6,,0,0,0,0,-0.9062,-0.770163636364,-0.652707518797,,,,0.968545524837,0.938578329883,,,24.7665313158,59.6753730769,,,1.0312124849939976,1.1824729891956782,,0.9806122448979593,
2011-03-15,161.39,,0,0,0,0,-0.7216,-0.784836363636,-0.724487593985,,,,0.9434287635,0.910780065999,,,26.1939355263,65.8273307051,,,1.0578722349587955,1.1993927752648863,,1.0166057376541298,
2011-03-16,164.7,,0,0,0,0,-0.5326,-0.777606060606,-0.784252631579,,,,0.96621191544,0.930680676792,,,26.1728155263,69.5156153205,,,1.079417122040073,1.1611414693381907,,0.9854280510018216,
