,open,percent300Avg,growth5,growth10,growth20,growth40,growth80,growth160,growth300,num,x3,x4,x5,slope5,slope10,slope20,slope40,slope80,slope160,movAvgDiff20,movAvgDiff40,movAvgDiff80,movAvgDiff160,var20,var40,var80,var160,sp_slope5,sp_slope10,sp_slope20,sp_slope40,sp_slope80,sp_slope160,sp_movAvgDiff20,sp_movAvgDiff40,sp_movAvgDiff80,sp_movAvgDiff160,sp_var20,sp_var40,sp_var80,sp_var160,dow_slope5,dow_slope10,dow_slope20,dow_slope40,dow_slope80,dow_slope160,dow_movAvgDiff20,dow_movAvgDiff40,dow_movAvgDiff80,dow_movAvgDiff160,dow_var20,dow_var40,dow_var80,dow_var160,5DayActual,10DayActual,50DayActual,k,300MovAvg
2012-05-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,-14.28,-20.4986666667,-9.73259774436,-2.30009849906,3.10586132355,0.285565397757,0.954656935904,0.933697037152,0.920905446847,0.944516253273,12319.7559474,15143.606891,12550.1246167,53850.9438442,-51.0884,-45.1736424242,-0.581839097745,-1.44064268293,6.43213139797,8.56552488995,0.959649476696,0.958896482463,0.955185864838,0.974050386918,65117.9137608,38673.6918203,30076.8553595,136982.934143,,,,,
2012-05-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,-13.032,-17.8410606061,-11.9851879699,-3.03880241557,2.5457111243,0.401706673723,0.977437134541,0.951932047179,0.936345199167,0.95656436978,12551.7887566,18731.5305385,15641.6356325,53419.9861069,-63.9276,-48.2757878788,-10.2082609023,-2.42057964353,5.79550360408,8.70836754695,0.962833437557,0.955871778261,0.951051386225,0.96776616001,87792.7259208,59420.6944369,43628.3947435,129734.920569,,,,,
2012-05-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.091,-15.8255151515,-12.531962406,-3.30190924015,2.35381646302,0.438827867727,0.991595674316,0.964208221006,0.947855558467,0.967111600893,10295.0917039,18994.5587885,16091.7670692,52949.6460362,-48.7484,-47.8155818182,-13.4109703008,-2.79709910882,5.57235748213,8.74899209384,0.976374256733,0.966961895533,0.96196547922,0.978159053538,82550.4645958,63751.4493615,46754.1397833,125853.537616,,,,,
2012-05-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.456,-13.7968181818,-12.9902763158,-3.57546693246,2.15995843589,0.474957973364,0.977169753167,0.948643848742,0.931704960699,0.949266533779,8728.2079671,19715.004101,16956.8277199,52415.5337295,-28.2078,-46.473769697,-16.5637684211,-3.19221986398,5.34728692716,8.78598488186,0.979000678522,0.967569972393,0.96211189746,0.977533967008,74830.9989629,68293.3172892,49856.2964239,120551.58687,,,,,
2012-05-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.005,-11.6391818182,-13.3414793233,-3.85645637899,1.96428837025,0.510084238673,0.981391840549,0.951693709414,0.933820875189,0.95011861884,7492.21615789,20239.0063526,17779.6356566,51932.972923,-10.0376,-44.0027636364,-19.5994977444,-3.6041940666,5.12012515676,8.81930401712,0.980985687259,0.967751756716,0.961821468303,0.976485864157,67598.2490832,72736.8481426,53004.4966187,115783.985916,,,,,
2012-05-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.188,-9.376,-13.5503383459,-4.13484158068,1.76742586,0.544234570015,0.99231824679,0.961427008527,0.94240715812,0.957756921417,5767.89128289,20330.9683317,18475.0295945,51373.0269535,6.2346,-40.412569697,-22.420412782,-4.0253130863,4.8917827473,8.84897912132,0.986645638367,0.971617005922,0.96520871661,0.979205206126,56923.4224053,76100.5428664,55608.7277646,110846.60482,,,,,
2012-05-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.975,-0.639060606061,-12.7345075188,-5.15122373358,0.980939258087,0.67233594162,1.01803973432,0.987350967841,0.963566947971,0.974694711997,1751.75739473,18372.5046138,20618.5767844,47259.6476705,8.2552,-18.8939090909,-30.0555860902,-5.63762631332,3.97306432109,8.93303378263,0.988906548207,0.969242436036,0.960621176751,0.972115865109,26216.8998853,87444.6275046,65526.6755116,92174.544161,,,,,
2012-05-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.502,1.52639393939,-12.1737819549,-5.37043116792,0.788303306669,0.702282316173,1.01181754904,0.982888821232,0.958103965745,0.96796244858,1619.39865789,17143.1439167,20946.3417528,45999.6299991,2.474,-12.1545272727,-30.9947789474,-6.02499739681,3.73992246249,8.94562460054,0.999769589997,0.979641628442,0.970508150845,0.981583319997,23104.6428832,88897.4855461,67358.3492838,89385.9788207,,,,,
2012-05-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.668,3.19254545455,-11.5450864662,-5.58673721857,0.59622630245,0.731245827779,0.998894948252,0.971856666305,0.946376955137,0.954678544267,1512.70533552,16032.0434359,21212.6887911,45269.3484713,-2.8124,-6.46000606061,-31.5578744361,-6.4131146576,3.5029755831,8.95468888149,0.988404504759,0.96785851458,0.958275796583,0.968622691857,20244.8452632,92962.6262592,71082.3933443,87774.6613099,,,,,
2012-06-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.545,4.40175757576,-10.858962406,-5.7971940666,0.405135636428,0.759224904415,1.00247429454,0.976949499763,0.950381863978,0.957305148139,1397.32621052,14698.0603782,21382.6933528,44508.6295754,-11.1334,-2.40973333333,-31.736781203,-6.80441859756,3.26233707806,8.96018398763,0.988396103274,0.967157053986,0.957030622109,0.966735297987,16702.0068345,97119.8806818,75050.1951007,86277.9288012,,,,,
2012-06-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9.068,4.45175757576,-8.4294887218,-6.42118867261,-0.159538538737,0.83700966972,0.983903879586,0.962800985366,0.935088573885,0.937255113236,1420.65365131,12691.5378141,21391.4795174,42345.0421761,-36.081,-2.97311515152,-30.0537233083,-8.13660605066,2.51856018226,8.95453685608,0.972394681112,0.949750504233,0.938510828164,0.945413253672,11765.075584,113384.242333,87788.042199,84612.7193847,,,,,
2012-06-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,-12.842,3.15027272727,-7.55332142857,-6.62159111163,-0.344746747539,0.86073680994,0.993406480359,0.973472487239,0.944917428432,0.945652276198,1455.54838815,12149.4106266,21613.1874114,41643.1960652,-49.4468,-7.9469030303,-29.0392781955,-8.67026231238,2.25891511222,8.94447006887,0.972903556839,0.950120570139,0.938103805004,0.944035514021,16754.3721608,121150.936424,94481.4231072,86086.7262107,,,,,
2012-06-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,-12.884,1.46218181818,-6.64059774436,-6.81427169325,-0.527079773207,0.88338804769,0.996816427261,0.978312007581,0.949234780415,0.948454964342,1462.33723026,11624.5946651,21711.1224304,40619.2391097,-59.5432,-14.4310545455,-27.9446353383,-9.24614608349,1.99547931757,8.92999139682,0.976685018276,0.954020537603,0.940987163829,0.94591406714,19973.7204198,124363.251559,100286.891025,86318.3810747,,,,,
2012-06-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.458,0.32496969697,-5.63808646617,-6.98534533302,-0.704845273676,0.905095422276,1.02191242731,1.00574963141,0.975681200016,0.973570700913,1727.53789473,10862.1524103,21533.7441756,39288.7042201,-52.1614,-19.3901818182,-26.5832402256,-9.8306836773,1.73068340512,8.91151769848,1.0002748705,0.978475733295,0.964374828286,0.968595767608,19929.1203221,119872.819712,101444.420999,85551.7822332,,,,,
2012-06-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.937,-0.104848484848,-4.56945112782,-7.1276602955,-0.877653605544,0.925854986248,1.02319604799,1.00991427356,0.979406790989,0.976173704823,2000.96010526,10091.5993526,21502.413443,37930.7532664,-24.2586,-22.4300060606,-24.9787417293,-10.4168819653,1.46555784546,8.8891030155,1.00377013628,0.983406411227,0.96854522528,0.97196720873,20000.9399566,114059.495798,101852.364544,84571.4209451,,,,,
2012-06-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.367,2.31524242424,-1.34021240601,-7.39680792683,-1.36350639504,0.98175969444,1.02711547094,1.02134755764,0.989553288671,0.982633275449,3063.25226315,7010.71624199,20883.4577532,33751.6234111,61.9638,-17.7148484848,-19.3786402256,-12.0806650094,0.674750859998,8.79916326569,1.0106190264,0.995154178204,0.977545907986,0.97889593114,20604.9677503,88474.4577717,104236.477313,80779.6614372,,,,,
2012-06-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.414,3.78433333333,-0.374266917293,-7.4288935272,-1.51502339721,0.998338332613,1.01275445884,1.00971199194,0.977779854152,0.969934822462,2998.14036841,5856.40403686,20831.0887405,32874.9099441,60.7724,-12.5858787879,-17.5184609023,-12.5768521576,0.412857170066,8.76216376586,0.999568429181,0.985589311609,0.9671055647,0.96783436289,20255.3618411,78138.7122558,105988.620157,80675.5053195,,,,,
2012-06-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.023,5.85945454545,0.555009398496,-7.42566123358,-1.66083748681,1.01400762664,1.02707444886,1.02679168245,0.994271023352,0.985353039358,3412.60249341,5313.80858814,20673.6882718,31859.0920007,44.073,-5.54335151515,-15.6380620301,-13.0258455206,0.152406775961,8.72205451858,1.01169195049,0.999108275522,0.979586450026,0.979796074218,21116.503525,68322.0491892,106292.931943,80056.4124135,,,,,
2012-06-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.394,8.07772727273,1.41259962406,-7.38963672608,-1.80069268636,1.02873692851,1.02345791672,1.02550774993,0.993017222748,0.983081678424,3802.12565131,4726.00250641,20450.5265091,30773.5579299,24.7022,2.1174,-13.8426319549,-13.433693879,-0.106927695734,8.67873618846,1.00631103804,0.995060680088,0.974802863534,0.974412989192,20791.5176106,58083.7649372,106801.285288,79631.9494088,,,,,
2012-06-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.529,9.96003030303,2.14708082707,-7.3204375,-1.93495726383,1.04245628781,1.01343135367,1.01755249438,0.985081724632,0.974284241735,3841.03115789,3979.09635256,20368.4204173,29787.8241368,16.0366,10.2590909091,-12.0701398496,-13.797729151,-0.362944237869,8.63243484798,1.01823870082,1.00845622178,0.98740729309,0.986327095107,22951.4875608,47449.3731435,104861.464908,78717.5454833,,,,,
2012-06-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.142,11.9375757576,3.87778383459,-6.89559533302,-2.30206072726,1.0775702507,1.02661673741,1.03444241391,1.00250654367,0.989055651328,4461.6123421,3948.25797436,20214.6128085,26860.1691054,35.994,29.0401757576,-6.41367969925,-14.558526243,-1.10456000498,8.47708682358,1.02518842335,1.01940894256,0.997727900405,0.994836154289,32473.5097685,33705.4346644,100742.630609,75425.8861313,,,,,
2012-06-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.174,10.9205151515,4.31845864662,-6.68205769231,-2.41316792663,1.08736407001,1.00498746983,1.0130229734,0.982311481977,0.968384137215,4470.87007236,3980.79245994,20192.7432275,26322.1424135,40.252,32.3435212121,-4.30308345865,-14.6848463649,-1.34100334476,8.42051566803,1.02270972795,1.01779704538,0.996369923429,0.992952824336,36035.4786106,32522.5846767,99183.3980418,74593.5014921,,,,,
2012-06-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,9.53612121212,4.71628571429,-6.4340304878,-2.51880335795,1.09638328356,1.01323280941,1.02248701206,0.992337410509,0.97757595237,4354.36270394,4182.38176282,20113.0957848,25733.4280566,43.8434,34.7528606061,-2.05496503759,-14.7399417683,-1.57069709623,8.36249812035,1.02838680357,1.0252126514,1.00390493062,0.999969547203,42868.273584,32279.3641358,97582.688115,73654.6219029,,,,,
2012-06-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.201,7.84406060606,5.06040977444,-6.16050644934,-2.61901042399,1.10461944024,1.01233077412,1.02258861759,0.993546489912,0.97785835118,4259.40328947,4387.24135256,19756.8743509,25214.237893,40.7584,36.0570242424,0.254290601504,-14.7325111867,-1.79372703499,8.30302659583,1.02549264629,1.02415323123,1.00319083468,0.998707285606,48037.0780029,31813.8484718,95297.4622465,72801.468978,,,,,
2012-06-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.249,6.00939393939,5.34897932331,-5.86611409475,-2.71343619609,1.11208128781,1.0141657784,1.02554434196,0.997714697542,0.980937027229,4163.28897368,4651.40416506,19164.0214541,24676.4507263,28.1204,34.6002060606,2.38029022556,-14.6913920497,-2.01262181786,8.24175308124,1.00490074935,1.0048793685,0.984425731433,0.979320394973,47540.8677945,29028.7784122,92892.5434415,72382.5094214,,,,,
2012-06-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.123,2.378,5.91903195489,-4.87648780488,-2.96011730104,1.13081058098,1.01511671691,1.03077610167,1.00760967146,0.987669148122,1770.25457894,5378.10780609,17291.6763762,23147.5209371,-32.7076,20.5734121212,7.64853909774,-14.2969075516,-2.6393120092,8.04910025004,1.00536558741,1.01076148149,0.99100918369,0.984176738631,27241.1000906,26053.8537948,89285.067842,70694.6792309,,,,,
2012-06-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.755,2.49766666667,5.99682894737,-4.51818280957,-3.03058134083,1.13574433312,1.00557623478,1.02216960609,1.00089589075,0.980201767273,794.649019732,5463.94617949,16633.1063888,22894.8848026,-42.4952,15.7651030303,8.94457067669,-14.0725586773,-2.83755821027,7.98277198276,0.993034817257,1.00005706696,0.980870023349,0.973555736452,16580.5190787,25825.9478541,88793.8790517,70566.0892372,,,,,
2012-06-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.302,2.78157575758,6.05439849624,-4.14841533771,-3.09502344116,1.13997104486,1.01154968353,1.02787517504,1.00857170076,0.986867044839,834.279703942,5435.15348558,15973.1875692,22609.998638,-39.4774,9.98846666667,10.036925188,-13.8082300422,-3.0316950085,7.91505007965,0.994906720723,1.00222515138,0.983688568017,0.975863264932,15116.9361103,25752.1507635,88036.9203456,70729.7639146,,,,,
2012-06-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.111,3.18957575758,6.09995488722,-3.76730745779,-3.15374533374,1.14348966879,1.01165672509,1.02748156294,1.01020733949,0.987767697407,908.177263153,5362.38015385,15454.452057,22427.8223104,-27.52,4.02673939394,10.9848454887,-13.4978115385,-3.2208869169,7.84609832708,1.00165703287,1.00931798043,0.991432641957,0.983128369658,14112.1667461,26008.1125026,86902.8667758,70723.1314822,,,,,
2012-06-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.944,3.83645454545,6.15684774436,-3.37218890713,-3.20633558222,1.14632941411,1.01648697429,1.03204037663,1.01669168696,0.99355182779,1090.79986184,5364.74438301,15132.7747275,22232.2291195,-11.0176,-1.72352727273,11.7617657895,-13.1347050891,-3.40516858298,7.77591227129,0.99936951697,1.00726206654,0.9900483143,0.981451802102,12958.0287432,26108.4184664,86625.7916195,70778.4403713,,,,,
2012-07-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.699,6.418,6.19433646617,-2.11044324578,-3.32550780151,1.15111686705,1.03030991256,1.04637038393,1.03594652661,1.01093401216,1998.38431578,6399.05625641,14522.9088414,21662.7309493,19.0122,-10.9118606061,13.2348838346,-11.6530981473,-3.9275285821,7.55669999844,1.01850808455,1.02778300459,1.01207527082,1.00285533084,12058.2292537,29099.1235477,86386.4152644,70990.9808075,,,,,
2012-07-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.582,7.68645454545,6.28337030075,-1.66495121951,-3.35175945704,1.15180713251,1.03302025396,1.04891417548,1.04064170858,1.01522621375,2988.87980921,6997.27089103,14468.0272532,21626.4603443,35.133,-8.80296363636,13.5561729323,-11.0363521107,-4.08753842007,7.48118398946,1.01637446827,1.0260833714,1.01127717521,1.00185343091,14091.0761169,31871.7758333,85782.7684663,70812.93314,,,,,
2012-07-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.378,10.4585151515,6.6034962406,-0.739959545028,-3.38429345406,1.1526405838,1.03250916453,1.04924316412,1.04487326249,1.01905331802,4804.56823026,8549.45967789,14683.1146899,21628.2244567,57.6774,2.16783636364,13.8673003759,-9.61894931989,-4.38548438233,7.32877816263,1.01954605568,1.03042992285,1.01710334263,1.00744221337,17966.5935882,38372.0312562,85572.4632855,70748.3694865,,,,,
2012-07-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.543,12.0516666667,6.84023496241,-0.264021458724,-3.3908472442,1.15282158696,1.03576533363,1.05335966598,1.051102118,1.0249779464,5660.79971052,9405.2656266,14813.8511962,21681.2306304,57.107,9.38761818182,13.8410379699,-8.81729582552,-4.52280565079,7.25197745289,1.01446630174,1.02552172166,1.01301351686,1.00328342997,19742.7160011,41056.0265805,85423.5724518,70679.8223303,,,,,
2012-07-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.645,15.3499393939,7.55767105263,1.15181625235,-3.36961641467,1.15235784097,1.02062992155,1.04047179468,1.04391383293,1.01694026411,6559.836125,11707.0788141,14422.3856582,21709.0656556,9.4122,27.9525818182,12.8928056391,-6.20120715291,-4.88665073693,7.0200858963,1.00369938716,1.01419306257,1.00433782515,0.993903648567,22708.2981208,46398.3319846,82255.3749218,70191.831432,,,,,
2012-07-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.071,15.3826060606,7.75187218045,1.60552743902,-3.34913104342,1.15168602961,1.01488376712,1.0348243349,1.04034487826,1.01311123436,6234.90260526,11651.5808574,14134.1836547,21709.7040526,-12.4136,29.3408606061,12.2410894737,-5.2739076454,-4.99245442891,6.94120674312,1.00110740874,1.01052280904,1.00156490215,0.990886131769,22022.4135516,46019.3049815,81474.4546595,69978.9773547,,,,,
2012-07-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.324000000001,14.8753333333,7.93956390977,2.04674906191,-3.32259148646,1.15086776705,1.01941307728,1.03987538403,1.04754524065,1.01989993,5991.64155263,11796.6357949,13973.2918212,21752.583943,-26.842,26.7766181818,11.452156015,-4.33549007974,-5.09249668454,6.86147666193,0.995418164385,1.00358775739,0.995512154835,0.98462675314,21618.9685779,44916.5600138,80711.7607676,70111.5715948,,,,,
2012-07-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.777,13.5224848485,8.08390977444,2.4712293621,-3.29063573166,1.14983986527,1.0068617317,1.0270499044,1.03648005523,1.00894892542,5484.60997368,11510.3151026,13780.1346582,21760.1599807,-41.9696,21.650430303,10.5166206767,-3.40059842871,-5.18704097808,6.78085211046,0.991349932593,0.999177441522,0.99196740183,0.980759014575,21257.2404156,43689.6093231,79548.0355189,70364.37251,,,,,
2012-07-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,-8.143,11.4821515152,8.18116729323,2.88114434803,-3.25330511603,1.14859856724,1.00406977199,1.02414938526,1.03520786305,1.0076993484,4871.39986184,11105.6798061,13800.0161768,21765.5080298,-52.329,14.4954242424,9.42546541353,-2.46620307223,-5.27623278833,6.69932133766,0.989074558268,0.996520010667,0.990031228896,0.978566251945,21273.1169253,42449.7591353,79116.012607,70711.4941597,,,,,
2012-07-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,-8.545,3.17666666667,8.49438533835,3.99867507036,-3.1120448239,1.14348714229,0.997686061021,1.0160741308,1.03277201114,1.00566588397,2917.9119671,7647.73971795,13950.679873,21651.2452703,-29.201,-11.0018787879,6.91153609023,0.220908818011,-5.51259658199,6.44751701904,1.00419943533,1.00942114578,1.00734057023,0.994569128028,19827.4513569,22179.9313738,73036.1644347,71558.022084,,,,,
2012-07-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,-7.21,0.352151515152,8.48956954887,4.32680218105,-3.05630483767,1.14112823377,0.994841769744,1.01312000039,1.03078815173,1.00387106855,2389.59801973,7385.31173718,14004.8842389,21623.8731163,-5.1018,-16.6445454545,6.34148759398,1.052619606,-5.579443687,6.3611021882,0.999688911009,1.00504064751,1.00405858016,0.990929800829,17828.9310621,20765.2931353,69584.3343488,71641.4772931,,,,,
2012-07-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,-7.45,-2.25266666667,8.35931578947,4.62727954972,-2.99660193243,1.13827099066,0.988086236943,1.00605729977,1.02445456059,0.997821429459,1976.83749342,7112.80258814,13986.9497749,21580.4606249,17.483,-19.947,5.82008909774,1.84819798311,-5.63933447902,6.2737372517,1.00437575579,1.00975949822,1.0098482055,0.996285435581,17373.4548724,20072.3023846,66218.2186729,71646.1739406,,,,,
2012-07-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6.663,-4.3353030303,8.13059022556,4.90082059099,-2.93313370986,1.13496705895,0.995083209751,1.01288854085,1.03239981442,1.00577075634,1667.87959868,6879.0888718,14034.7202136,21476.7090189,39.323,-19.8618484848,5.42576503759,2.61060933396,-5.69080613133,6.1856133609,1.01200425384,1.01774565287,1.01905653827,1.00504422783,17638.4042169,20217.4143846,63000.7999681,71660.0077392,,,,,
2012-07-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.728,-5.76278787879,7.80215977444,5.14535354128,-2.86601576418,1.13121200642,0.992893470207,1.01032929082,1.03075779907,1.00437106727,1358.2579671,6595.20198558,14061.5000756,21370.3150345,53.3466,-16.2187939394,5.17001503759,3.33853395872,-5.73328739012,6.09680387979,1.01325396829,1.01938463773,1.02194076505,1.00759275882,17948.3701958,20494.3444558,60169.7188985,71707.5448251,,,,,
2012-07-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.727,-6.26727272727,6.16046052632,5.67637148218,-2.64327043044,1.11759015641,0.983739924939,0.99817938422,1.02077717162,0.995079875443,1332.79181579,5854.10480609,13932.5348165,21066.4347386,38.5148,6.95713939394,4.8594056391,5.22082209193,-5.80384438584,5.82760132473,1.0022981687,1.00742969034,1.01333427391,0.998006509156,18187.1122885,20079.0954408,49209.2483294,71800.0137952,,,,,
