,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19y1,y2,y3,k,y1,x19
2011-01-03,37.27,,0,0,0,0,,,,,,,,,,,,,,,1.0177086128253285,1.0812986316071906,,1.0364904749127986,
2011-01-04,37.3,,0,0,0,0,,,,,,,,,,,,,,,1.0067024128686326,1.103485254691689,,1.0351206434316353,
2011-01-05,39.09,,0,0,0,0,,,,,,,,,,,,,,,0.9513942184701969,1.065745715016628,,0.9803018674852902,
2011-01-06,39.92,,0,0,0,0,,,,,,,,,,,,,,,0.9333667334669338,1.0498496993987976,,0.9461422845691383,
2011-01-07,39.54,,0,0,0,0,,,,,,,,,,,,,,,0.9390490642387457,1.065503287809813,,0.952959028831563,
2011-01-10,38.63,,0,0,0,0,,,,,,,,,,,,,,,0.9823971006989387,1.1027698679782552,,0.9818793683665544,
2011-01-11,38.61,,0,0,0,0,0.1452,,,,,,,,,,,,,,1.0002590002590002,1.126133126133126,,0.9725459725459725,
2011-01-12,38.32,,0,0,0,0,-0.0654,,,,,,,,,,,,,,1.0018267223382047,1.1615344467640918,,0.9705114822546972,
2011-01-13,37.77,,0,0,0,0,-0.241,,,,,,,,,,,,,,1.0270055599682286,1.1667990468625893,,0.9864972200158855,
2011-01-14,37.68,,0,0,0,0,-0.3062,,,,,,,,,,,,,,1.0082271762208068,1.1719745222929936,,0.9854033970276009,
2011-01-18,37.93,,0,0,0,0,-0.1258,,,,,,,,,,,,,,1.0258370682836804,1.167940943843923,,1.0005272871078303,
2011-01-19,37.55,,0,0,0,0,-0.0712,,,,,,,,,,,,,,1.02982689747004,1.1864181091877497,,1.0284953395472702,
2011-01-20,37.19,,0,0,0,0,-0.0434,,,,,,,,,,,,,,1.0354934122075827,1.2030115622479163,,1.0322667383705297,
2011-01-21,37.26,,0,0,0,0,-0.0476,-0.14236969697,,,,,,,,,,,,,1.0375738056897477,1.1943102522812667,,1.041062801932367,
2011-01-24,37.13,,0,0,0,0,-0.099,-0.142581818182,,,,,,,,,,,,,1.0611365472663614,1.1844869377861567,,1.0231618637220576,
2011-01-25,37.95,,0,0,0,0,-0.0518,-0.118254545455,,,,,,,,,,,,,1.0642951251646904,1.153623188405797,,1.025296442687747,
2011-01-26,38.62,,0,0,0,0,0.048,-0.0887757575758,,,,,,,,,,,,,1.0302951838425687,1.1421543241843606,,1.0012946659761783,
2011-01-27,38.39,,0,0,0,0,0.1556,-0.0567212121212,,,,,,,,,,,,,1.023183120604324,1.1536858556915863,,1.0031258140140662,
