,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19y1,y2,y3,k,y1,x19
2014-01-02,15.92,,0,0,0,0,,,,,,,,,,,,,,,1.0056532663316584,1.1224874371859297,,1.0119346733668342,
2014-01-03,15.89,,0,0,0,0,,,,,,,,,,,,,,,1.0106985525487726,1.1258653241032095,,0.9943360604153556,
2014-01-06,15.83,,0,0,0,0,,,,,,,,,,,,,,,1.011370814908402,1.1610865445356917,,0.9936828806064435,
2014-01-07,16.04,,0,0,0,0,,,,,,,,,,,,,,,1.0024937655860349,1.1508728179551124,,0.9625935162094763,
2014-01-08,16.2,,0,0,0,0,,,,,,,,,,,,,,,0.9864197530864198,1.156172839506173,,0.9820987654320988,
2014-01-09,16.11,,0,0,0,0,,,,,,,,,,,,,,,0.9832402234636872,1.1514587212911236,,0.9937926753569213,
2014-01-10,15.8,,0,0,0,0,0.033,,,,,,,,,,,,,,0.9848101265822785,1.180379746835443,,1.0164556962025315,
2014-01-13,15.73,,0,0,0,0,-0.0386,,,,,,,,,,,,,,0.9809281627463445,1.1837253655435473,,1.0178003814367451,
2014-01-14,15.44,,0,0,0,0,-0.0706,,,,,,,,,,,,,,1.0071243523316062,1.1651554404145077,,1.0414507772020725,
2014-01-15,15.91,,0,0,0,0,-0.0736,,,,,,,,,,,,,,0.9773727215587681,1.1162790697674418,,1.0043997485857952,
2014-01-16,16.01,,0,0,0,0,-0.044,,,,,,,,,,,,,,0.9681449094316051,1.1199250468457214,,0.9893816364772017,
2014-01-17,16.06,,0,0,0,0,0.0028,,,,,,,,,,,,,,0.9844333748443339,1.1506849315068495,,0.9688667496886676,
2014-01-21,16.01,,0,0,0,0,0.0594,-0.00106666666667,,,,,,,,,,,,,0.9668956901936289,1.1648969394128668,,0.9637726420986882,
2014-01-22,16.08,,0,0,0,0,0.0346,0.00434545454545,,,,,,,,,,,,,0.9620646766169155,1.1548507462686568,,0.9670398009950251,
2014-01-23,15.98,,0,0,0,0,0.004,0.00984848484848,,,,,,,,,,,,,0.967459324155194,1.178347934918648,,0.9730913642052565,
2014-01-24,15.84,,0,0,0,0,-0.0124,0.0138303030303,,,,,,,,,,,,,0.98989898989899,1.1464646464646464,,0.9785353535353536,
2014-01-27,15.56,,0,0,0,0,-0.053,0.0133333333333,,,,,,,,,,,,,1.018637532133676,1.1703084832904884,,1.0160668380462725,
2014-01-28,15.43,,0,0,0,0,-0.0722,0.00524848484848,,,,,,,,,,,,,1.0375891121192484,1.2281270252754375,,1.0032404406999353,
2014-01-29,15.55,,0,0,0,0,-0.0826,-0.00592727272727,,,,,,,,,,,,,1.0482315112540193,1.2064308681672027,,0.9948553054662379,
2014-01-30,15.55,,0,0,0,0,-0.0828,-0.0175696969697,,,,,,,,,,,,,1.1093247588424437,1.172990353697749,,0.9942122186495177,
2014-01-31,15.5,,0,0,0,0,-0.0704,-0.0290787878788,,,,,0.98005121558,,,,0.0539734210526,,,,1.1096774193548387,1.176774193548387,,1.0116129032258063,
2014-02-03,15.81,,0,0,0,0,-0.0026,-0.0485575757576,,,,,1.00015815278,,,,0.0565671052632,,,,1.1334598355471222,1.1600253004427576,,1.0025300442757747,
2014-02-04,15.48,,0,0,0,0,0.0146,-0.0472727272727,,,,,0.980615735462,,,,0.0611726315789,,,,1.1563307493540051,1.197674418604651,,1.0342377260981912,
2014-02-05,15.47,,0,0,0,0,0.013,-0.0439515151515,,,,,0.981661272923,,,,0.06302,,,,1.1751777634130576,1.1906916612798966,,1.0536522301228184,
2014-02-06,15.46,,0,0,0,0,0.0028,-0.0390787878788,,,,,0.98289783203,,,,0.0620094736842,,,,1.2128072445019404,1.2011642949547219,,1.1157826649417852,
2014-02-07,15.68,,0,0,0,0,0.0002,-0.032096969697,,,,,0.998090388288,,,,0.0559894736842,,,,1.1862244897959184,1.1951530612244896,,1.096938775510204,
2014-02-10,15.85,,0,0,0,0,0.0266,-0.00592727272727,-0.0155827067669,,,,1.01187436159,,,,0.0372568421053,,,,1.1861198738170349,1.1924290220820188,,1.1305993690851737,
2014-02-11,16.01,,0,0,0,0,0.0516,0.00369090909091,-0.0159954887218,,,,1.02231729511,,,,0.0344365789474,,,,1.1680199875078074,1.2004996876951903,,1.1180512179887567,
2014-02-12,16.3,,0,0,0,0,0.0886,0.0144363636364,-0.0156981203008,,,,1.03977290849,,,,0.0503186842105,,,,1.1478527607361964,1.1791411042944784,,1.1153374233128834,
2014-02-13,17.25,,0,0,0,0,0.1482,0.0312484848485,-0.0140398496241,,,,1.09544675176,,,,0.173990526316,,,,1.0666666666666667,1.0944927536231883,,1.0869565217391304,
2014-02-14,17.2,,0,0,0,0,0.2142,0.0516727272727,-0.0111661654135,,,,1.08757508694,,,,0.279784210526,,,,1.044767441860465,1.0883720930232559,,1.0813953488372094,
2014-02-18,17.92,,0,0,0,0,0.2062,0.138309090909,0.00968308270677,,,,1.10808805343,,,,0.666764210526,,,,1.0256696428571428,1.0412946428571428,,1.0491071428571428,
2014-02-19,17.9,,0,0,0,0,0.1698,0.158581818182,0.0171176691729,,,,1.09886736855,,,,0.789026052632,,,,1.0312849162011175,1.047486033519553,,1.0446927374301676,
2014-02-20,18.18,,0,0,0,0,0.1574,0.1766,0.0255394736842,,,,1.10695040643,,,,0.925423947368,,,,1.0269526952695271,1.0264026402640265,,1.0291529152915293,
2014-02-21,18.75,,0,0,0,0,0.1896,0.193266666667,0.0351315789474,,,,1.13047148197,,,,1.13761473684,,,,0.9845333333333334,0.9818666666666667,,0.9813333333333333,
2014-02-24,18.6,,0,0,0,0,0.2328,0.213551515152,0.0689353383459,,,,1.09081312495,,,,1.45779236842,,,,0.9838709677419355,1.011290322580645,,0.9661290322580643,
2014-02-25,18.8,,0,0,0,0,0.1786,0.210703030303,0.080737593985,,,,1.09188059008,,,,1.45788,,,,0.9670212765957447,0.9707446808510638,,0.977659574468085,
2014-02-26,18.7,,0,0,0,0,0.1104,0.203709090909,0.0921864661654,,,,1.07594936709,,,,1.38318947368,,,,0.9721925133689839,0.9732620320855615,,0.9871657754010696,
2014-02-27,18.71,,0,0,0,0,0.0606,0.191448484848,0.103016917293,,,,1.0672218578,,,,1.30002394737,,,,0.9812934259754141,0.9588455371459113,,0.9978621058257616,
2014-02-28,18.4,,0,0,0,0,0.0054,0.173115151515,0.11275112782,,,,1.04146030848,,,,1.13983026316,,,,0.9543478260869566,0.9831521739130435,,1.0032608695652174,
2014-03-03,17.97,,0,0,0,0,-0.0792,0.0980424242424,0.132881203008,,,,0.996727494592,1.06680122887,,,0.537209473684,1.7169025,,,0.9944351697273235,1.020033388981636,,1.0183639398998332,
2014-03-04,18.38,,0,0,0,0,-0.089,0.0719696969697,0.135888345865,,,,1.01362157393,1.08726837132,,,0.374969473684,1.75447173077,,,0.9733405875952122,0.9951033732317737,,0.9891186071817193,
2014-03-05,18.46,,0,0,0,0,-0.0772,0.0451515151515,0.137178947368,,,,1.0146480886,1.0877859784,,,0.335708157895,1.78302301282,,,0.9956663055254603,0.9783315276273021,,0.9848320693391115,
2014-03-06,18.67,,0,0,0,0,-0.0346,0.0210545454545,0.136914285714,,,,1.02206164121,1.09559298163,,,0.290022105263,1.81921435897,,,0.9887520085698982,0.9566148901981788,,0.9833958221746115,
2014-03-07,18.46,,0,0,0,0,0.009,0.000387878787879,0.134936090226,,,,1.00709219858,1.07912197118,,,0.227884210526,1.82945923077,,,1.014626218851571,0.9832069339111591,,0.95124593716143,
2014-03-10,18.3,,0,0,0,0,0.0302,-0.0252,0.120368796992,,,,0.990527740189,1.05636851675,,,0.0643210526316,1.71612076923,,,1.0136612021857923,1.008743169398907,,0.9765027322404372,
2014-03-11,18.18,,0,0,0,0,-0.0048,-0.0245090909091,0.112673684211,,,,0.983287360052,1.04547349656,,,0.0512936842105,1.64984814103,,,1.0258525852585259,1.007150715071507,,0.9840484048404841,
2014-03-12,18.18,,0,0,0,0,-0.047,-0.0207636363636,0.103786842105,,,,0.983287360052,1.04146079484,,,0.0512936842105,1.56975737179,,,1.0242024202420243,1.001100110011001,,1.011001100110011,
2014-03-13,18.36,,0,0,0,0,-0.0566,-0.0167696969697,0.0940812030075,,,,0.994071306749,1.04748185021,,,0.0481839473684,1.48733070513,,,0.9798474945533768,1.0032679738562094,,1.005446623093682,
2014-03-14,17.56,,0,0,0,1,-0.0784,-0.0178121212121,0.0832590225564,,,,0.953829440521,0.998904958972,,,0.0838526315789,1.37920711538,,,1.0113895216400912,1.059225512528474,,1.066628701594533,
2014-03-17,17.87,,0,0,0,0,-0.13,-0.0397878787879,0.0468642857143,,,,0.979070786763,1.00761206654,,,0.132985263158,1.04917948718,,,1.0033575825405707,1.0570789031897034,,1.0380526021264689,
2014-03-18,17.89,,0,0,0,0,-0.1042,-0.0482787878788,0.0350609022556,,,,0.982346319633,1.00529620836,,,0.127592368421,0.913301987179,,,1.0329793180547793,1.0603689211850196,,1.0424818334264951,
2014-03-19,18.38,,0,0,0,0,-0.0388,-0.0535515151515,0.0241635338346,,,,1.01016762847,1.02892810659,,,0.115721052632,0.802601987179,,,1.0146898803046789,1.0310119695321,,1.013057671381937,
2014-03-20,18.46,,0,0,0,0,0.0446,-0.053503030303,0.0144586466165,,,,1.0143971865,1.02940151399,,,0.117195789474,0.684558910256,,,1.0059588299024917,1.0325027085590466,,0.9745395449620801,
2014-03-21,18.73,,0,0,0,0,0.1312,-0.0471212121212,0.00633909774436,0.0607225375235,,,1.02830162782,1.04003553779,,,0.129657631579,0.564768205128,,,1.00533902829685,1.013347570742125,,0.9482114255205554,
2014-03-24,18.55,,0,0,0,0,0.1556,0.00621818181818,-0.0084462406015,0.0629648686679,,,1.01490904117,1.01893684514,,,0.152977631579,0.262558910256,,,0.9789757412398922,1.0140161725067385,,0.966576819407008,
2014-03-25,18.65,,0,0,0,0,0.1026,0.0291515151515,-0.0110195488722,0.0633333489681,,,1.01985016679,1.02246405614,,,0.158432631579,0.242976858974,,,0.9764075067024129,1.0139410187667561,,0.9908847184986597,
2014-03-26,18.62,,0,0,0,0,0.0508,0.0488181818182,-0.0126086466165,0.0635075750469,,,1.01834887473,1.01883643626,,,0.156541842105,0.217635320513,,,1.0177228786251342,1.023093447905478,,1.0016111707841029,
2014-03-27,17.99,,0,0,0,0,-0.018,0.0609272727273,-0.013565037594,0.0634351782364,,,0.985159629812,0.98330190484,,,0.158904210526,0.189656153846,,,1.0428015564202335,1.0566981656475822,,1.0322401334074487,
2014-03-28,17.76,,0,0,0,0,-0.0822,0.0633878787879,-0.0139229323308,0.0630776500938,,,0.974432129924,0.969988257462,,,0.168741052632,0.166035641026,,,1.0270270270270268,1.0686936936936937,,1.0602477477477477,
2014-03-31,17.93,,0,0,0,0,-0.1672,0.0217939393939,-0.0116233082707,0.0603156425891,,,0.987797151751,0.978698434792,,,0.187087105263,0.145340961538,,,1.0172894590072503,1.0641383156720579,,1.0128276631344115,
2014-04-01,18.48,,0,0,0,0,-0.1068,0.00218787878788,-0.00969060150376,0.0589799249531,,,1.01725703906,1.00830707534,,,0.192487105263,0.145433269231,,,0.9924242424242424,1.0497835497835497,,0.9853896103896104,
2014-04-02,18.65,,0,0,0,0,-0.012,-0.0167575757576,-0.00737368421053,0.0575044090056,,,1.02579616083,1.01772144991,,,0.202598947368,0.143517884615,,,0.9941018766756032,1.057372654155496,,1.0160857908847185,
2014-04-03,18.57,,0,0,0,0,0.0876,-0.0298181818182,-0.00484097744361,0.0559028142589,,,1.01856676631,1.01360479238,,,0.187581842105,0.140407115385,,,0.9919224555735058,1.0473882606354334,,1.0102315562735595,
2014-04-04,18.83,,0,0,0,0,0.1644,-0.0342787878788,-0.00207218045113,0.054241815197,,,1.02924296256,1.02768416313,,,0.178457894737,0.142328141026,,,0.9861922464152948,1.0355815188528945,,0.9686670207116304,
2014-04-07,18.16,,0,0,0,0,0.0982,-5.59821549387e-16,0.00578646616541,0.0486728893058,,,0.985884907709,0.991496389719,,,0.146526315789,0.144691730769,,,1.0319383259911894,1.0770925110132157,,1.0044052863436121,
2014-04-08,18.21,,0,0,0,0,0.0132,0.0152909090909,0.00721165413534,0.0465721857411,,,0.989055753198,0.994905276385,,,0.148687105263,0.14083275641,,,1.0378912685337724,1.0560131795716639,,1.0071389346512905,
2014-04-09,18.95,,0,0,0,0,-0.0322,0.0320787878788,0.00870864661654,0.0444311210131,,,1.02788023432,1.03455806082,,,0.163193684211,0.151124102564,,,1.0142480211081795,1.0126649076517151,,0.9783641160949867,
2014-04-10,18.76,,0,0,0,0,-0.0368,0.0454424242424,0.0101296992481,0.0422407129456,,,1.01749152542,1.02368220015,,,0.164167105263,0.155896410256,,,1.0245202558635393,0.9957356076759061,,0.9818763326226013,
2014-04-11,18.24,,0,0,0,0,-0.035,0.0512363636364,0.0111259398496,0.0399674953096,,,0.990604464237,0.995524506058,,,0.161085263158,0.155929230769,,,1.0350877192982457,1.0241228070175439,,1.018092105263158,
2014-04-14,18.24,,0,0,0,0,-0.0454,0.0289454545455,0.0132233082707,0.032753424015,,,0.993870044953,0.995646774656,,,0.152725,0.152689679487,,,1.0263157894736843,1.012609649122807,,1.0274122807017545,
2014-04-15,18.34,,0,0,0,0,-0.0544,0.0115696969697,0.0133045112782,0.0302941838649,,,1.00008179513,1.00155639898,,,0.148760789474,0.149484871795,,,1.0174482006543075,1.014721919302072,,1.030534351145038,
2014-04-16,18.54,,0,0,0,0,-0.0546,-0.00378787878788,0.0133263157895,0.0278558161351,,,1.0094740281,1.0123679253,,,0.143709473684,0.150254102564,,,1.011326860841424,0.9892125134843582,,1.0366774541531822,
2014-04-17,18.42,,0,0,0,0,-0.0284,-0.0156909090909,0.0131090225564,0.0254661819887,,,1.00114136638,1.00587030717,,,0.123388421053,0.149993589744,,,1.013029315960912,0.9940282301845819,,1.04343105320304,
2014-04-21,18.57,,0,0,0,0,0.024,-0.0192242424242,0.00911541353383,0.0167356003752,,,1.0041094409,1.01307947246,,,0.0605936842105,0.150797371795,,,0.9913839526117394,0.9973074851911685,,1.0166935918147548,
2014-04-22,18.74,,0,0,0,0,0.0266,-0.0108060606061,0.00753308270677,0.0148514540338,,,1.01305511258,1.02182417972,,,0.0624765789474,0.154987115385,,,1.003735325506937,0.9967982924226255,,0.9989327641408752,
2014-04-23,18.9,,0,0,0,0,0.0434,0.000551515151515,0.00650639097744,0.0131356003752,,,1.02079395085,1.02866939709,,,0.0704052631579,0.146294294872,,,0.9656084656084657,0.9793650793650795,,0.9873015873015873,
2014-04-24,19.22,,0,0,0,0,0.0812,0.0136606060606,0.00633458646617,0.0115908771107,,,1.03698508187,1.04372853283,,,0.0909418421052,0.145953782051,,,0.9469302809573361,0.9823100936524454,,0.9755463059313216,
2014-04-25,19.22,,0,0,0,0,0.1216,0.0267393939394,0.00708383458647,0.0102494371482,,,1.03589522475,1.04138164578,,,0.110677894737,0.142080448718,,,0.9334027055150885,0.9703433922996878,,0.9708636836628513,
