Date, Open, High, Low, Close
11/25/16, 19093.72, 19152.14, 19093.72, 19152.14
11/23/16, 19015.52, 19083.76, 19000.38, 19083.18
11/22/16, 18970.39, 19043.90, 18962.82, 19023.87
11/21/16, 18898.68, 18960.76, 18883.10, 18956.69
11/18/16, 18905.33, 18915.74, 18853.83, 18867.93
11/17/16, 18866.22, 18904.03, 18845.27, 18903.82
11/16/16, 18909.85, 18909.85, 18825.89, 18868.14
11/15/16, 18858.21, 18925.26, 18806.06, 18923.06
11/14/16, 18876.77, 18934.05, 18815.75, 18868.69
11/11/16, 18781.65, 18855.78, 18736.96, 18847.66
11/10/16, 18603.14, 18873.66, 18603.14, 18807.88
11/09/16, 18317.26, 18650.06, 18252.55, 18589.69
11/08/16, 18251.38, 18400.50, 18200.75, 18332.74
11/07/16, 17994.64, 18263.30, 17994.64, 18259.60
11/04/16, 17928.35, 17986.76, 17883.56, 17888.28
11/03/16, 17978.75, 18006.96, 17904.07, 17930.67
11/02/16, 18017.72, 18044.15, 17931.89, 17959.64
11/01/16, 18158.24, 18177.01, 17940.84, 18037.10
10/31/16, 18176.60, 18193.68, 18130.58, 18142.42
10/28/16, 18193.79, 18257.06, 18094.97, 18161.19
10/27/16, 18234.81, 18253.20, 18149.20, 18169.68
10/26/16, 18103.80, 18236.04, 18062.30, 18199.33
10/25/16, 18206.52, 18241.69, 18151.70, 18169.27
10/24/16, 18197.14, 18275.04, 18191.18, 18223.03
10/21/16, 18152.63, 18168.76, 18049.77, 18145.71
10/20/16, 18161.87, 18249.05, 18129.07, 18162.35
10/19/16, 18178.21, 18252.20, 18169.25, 18202.62
10/18/16, 18145.06, 18225.80, 18129.45, 18161.94
10/17/16, 18135.85, 18162.28, 18063.02, 18086.40
10/14/16, 18177.35, 18261.11, 18138.38, 18138.38
10/13/16, 18088.32, 18137.70, 17959.95, 18098.94
10/12/16, 18132.63, 18193.96, 18082.09, 18144.20
10/11/16, 18308.43, 18312.33, 18061.96, 18128.66
10/10/16, 18282.95, 18399.96, 18282.95, 18329.04
10/07/16, 18295.35, 18319.73, 18149.35, 18240.49
10/06/16, 18280.42, 18288.12, 18162.97, 18268.50
10/05/16, 18205.50, 18315.82, 18205.50, 18281.03
10/04/16, 18267.68, 18313.77, 18116.26, 18168.45
10/03/16, 18279.60, 18279.80, 18203.75, 18253.85
09/30/16, 18181.80, 18369.62, 18181.80, 18308.15
09/29/16, 18322.88, 18366.23, 18091.64, 18143.45
09/28/16, 18240.22, 18349.86, 18179.34, 18339.24
09/27/16, 18099.21, 18238.10, 18052.16, 18228.30
09/26/16, 18217.76, 18217.76, 18083.32, 18094.83
09/23/16, 18377.36, 18383.76, 18254.84, 18261.45
09/22/16, 18343.76, 18449.88, 18343.76, 18392.46
09/21/16, 18164.96, 18307.43, 18121.57, 18293.70
09/20/16, 18175.36, 18227.21, 18128.80, 18129.96
09/19/16, 18154.82, 18254.88, 18093.05, 18120.17
09/16/16, 18217.21, 18217.21, 18070.21, 18123.80
09/15/16, 18024.91, 18250.11, 18015.49, 18212.48
09/14/16, 18073.39, 18163.48, 17992.21, 18034.77
09/13/16, 18262.99, 18262.99, 18028.06, 18066.75
09/12/16, 18028.95, 18358.69, 17994.84, 18325.07
09/09/16, 18404.17, 18404.17, 18085.45, 18085.45
09/08/16, 18486.69, 18506.24, 18446.69, 18479.91
09/07/16, 18527.71, 18536.89, 18474.77, 18526.14
09/06/16, 18493.40, 18551.54, 18450.32, 18538.12
09/02/16, 18466.01, 18544.76, 18439.10, 18491.96
09/01/16, 18396.57, 18430.05, 18295.48, 18419.30
08/31/16, 18436.70, 18439.68, 18333.56, 18400.88
08/30/16, 18491.28, 18514.29, 18408.52, 18454.30
08/29/16, 18421.29, 18523.09, 18419.92, 18502.99
08/26/16, 18467.92, 18572.09, 18335.34, 18395.40
08/25/16, 18471.21, 18497.68, 18431.46, 18448.41
08/24/16, 18537.50, 18539.15, 18448.27, 18481.48
08/23/16, 18568.94, 18631.60, 18545.52, 18547.30
08/22/16, 18535.86, 18570.92, 18466.86, 18529.42
08/19/16, 18585.17, 18585.17, 18491.24, 18552.57
08/18/16, 18566.54, 18600.82, 18533.29, 18597.70
08/17/16, 18537.09, 18582.35, 18468.68, 18573.94
08/16/16, 18614.48, 18614.86, 18550.65, 18552.02
08/15/16, 18588.59, 18668.44, 18588.59, 18636.05
08/12/16, 18595.65, 18606.06, 18535.86, 18576.47
08/11/16, 18519.08, 18638.34, 18519.08, 18613.52
08/10/16, 18541.48, 18561.75, 18468.78, 18495.66
08/09/16, 18538.05, 18585.32, 18507.75, 18533.05
08/08/16, 18540.65, 18569.31, 18502.03, 18529.29
08/05/16, 18402.80, 18543.53, 18402.80, 18543.53
08/04/16, 18351.43, 18397.87, 18325.17, 18352.05
08/03/16, 18313.08, 18355.00, 18283.23, 18355.00
08/02/16, 18401.15, 18403.65, 18247.79, 18313.77
08/01/16, 18434.50, 18467.03, 18355.75, 18404.51
07/29/16, 18442.52, 18466.55, 18371.12, 18432.24
07/28/16, 18461.01, 18483.26, 18368.82, 18456.35
07/27/16, 18473.27, 18542.39, 18430.94, 18472.17
07/26/16, 18497.37, 18522.47, 18387.22, 18473.75
07/25/16, 18554.49, 18555.69, 18452.62, 18493.06
07/22/16, 18524.15, 18571.30, 18491.59, 18570.85
07/21/16, 18589.96, 18590.44, 18469.67, 18517.23
07/20/16, 18582.70, 18622.01, 18555.65, 18595.03
07/19/16, 18503.12, 18562.53, 18495.11, 18559.01
07/18/16, 18521.55, 18556.13, 18489.84, 18533.05
07/15/16, 18508.88, 18557.43, 18471.62, 18516.55
07/14/16, 18414.30, 18537.57, 18414.30, 18506.41
07/13/16, 18356.78, 18390.16, 18315.76, 18372.12
07/12/16, 18259.12, 18371.95, 18259.12, 18347.67
07/11/16, 18161.53, 18283.90, 18161.53, 18226.93
07/08/16, 17971.22, 18166.77, 17971.22, 18146.74
07/07/16, 17924.24, 17984.95, 17816.65, 17895.88
07/06/16, 17807.47, 17926.91, 17713.45, 17918.62
07/05/16, 17904.45, 17904.45, 17785.28, 17840.62
07/01/16, 17924.24, 18002.38, 17916.91, 17949.37
06/30/16, 17712.76, 17930.61, 17711.80, 17929.99
06/29/16, 17456.02, 17704.51, 17456.02, 17694.68
06/28/16, 17190.51, 17409.72, 17190.51, 17409.72
06/27/16, 17355.21, 17355.21, 17063.08, 17140.24
06/24/16, 17946.63, 17946.63, 17356.34, 17400.75
06/23/16, 17844.11, 18011.07, 17844.11, 18011.07
06/22/16, 17832.67, 17920.16, 17770.36, 17780.83
06/21/16, 17827.33, 17877.84, 17799.80, 17829.73
06/20/16, 17736.87, 17946.36, 17736.87, 17804.87
06/17/16, 17733.44, 17733.44, 17602.78, 17675.16
06/16/16, 17602.23, 17754.91, 17471.29, 17733.10
06/15/16, 17703.65, 17762.96, 17629.01, 17640.17
06/14/16, 17710.77, 17733.92, 17595.79, 17674.82
06/13/16, 17830.50, 17893.28, 17731.35, 17732.48
06/10/16, 17938.82, 17938.82, 17812.34, 17865.34
06/09/16, 17969.98, 18005.22, 17915.88, 17985.19
06/08/16, 17931.91, 18016.00, 17931.91, 18005.05
06/07/16, 17936.22, 18003.23, 17936.22, 17938.28
06/06/16, 17825.69, 17949.68, 17822.81, 17920.33
06/03/16, 17799.80, 17833.17, 17689.68, 17807.06
06/02/16, 17789.05, 17838.56, 17703.55, 17838.56
06/01/16, 17754.55, 17809.18, 17664.79, 17789.67
05/31/16, 17891.50, 17899.24, 17724.03, 17787.20
05/27/16, 17826.85, 17873.22, 17824.73, 17873.22
05/26/16, 17859.52, 17888.66, 17803.82, 17828.29
05/25/16, 17735.09, 17891.71, 17735.09, 17851.51
05/24/16, 17525.19, 17742.59, 17525.19, 17706.05
05/23/16, 17507.04, 17550.70, 17480.05, 17492.93
05/20/16, 17437.32, 17571.75, 17437.32, 17500.94
05/19/16, 17514.16, 17514.16, 17331.07, 17435.40
05/18/16, 17501.28, 17636.22, 17418.21, 17526.62
05/17/16, 17701.46, 17701.46, 17469.92, 17529.98
05/16/16, 17531.76, 17755.80, 17531.76, 17710.71
05/13/16, 17711.12, 17734.74, 17512.48, 17535.32
05/12/16, 17722.01, 17798.19, 17625.38, 17720.50
05/11/16, 17919.03, 17919.03, 17711.05, 17711.12
05/10/16, 17726.66, 17934.61, 17726.66, 17928.35
05/09/16, 17743.85, 17783.16, 17668.38, 17705.91
05/06/16, 17650.30, 17744.54, 17580.38, 17740.63
05/05/16, 17664.48, 17736.11, 17615.82, 17660.71
05/04/16, 17735.02, 17738.06, 17609.01, 17651.26
05/03/16, 17870.75, 17870.75, 17670.88, 17750.91
05/02/16, 17783.78, 17912.35, 17773.71, 17891.16
04/29/16, 17813.09, 17814.83, 17651.98, 17773.64
04/28/16, 18023.88, 18035.73, 17796.55, 17830.76
04/27/16, 17996.14, 18084.66, 17920.26, 18041.55
04/26/16, 17987.38, 18043.77, 17934.17, 17990.32
04/25/16, 17990.94, 17990.94, 17855.55, 17977.24
04/22/16, 17985.05, 18026.85, 17909.89, 18003.75
04/21/16, 18092.84, 18107.29, 17963.89, 17982.52
04/20/16, 18059.49, 18167.63, 18031.21, 18096.27
04/19/16, 18012.10, 18103.46, 17984.43, 18053.60
04/18/16, 17890.20, 18009.53, 17848.22, 18004.16
04/15/16, 17925.95, 17937.65, 17867.41, 17897.46
04/14/16, 17912.25, 17962.14, 17885.44, 17926.43
04/13/16, 17741.66, 17918.35, 17741.66, 17908.28
04/12/16, 17571.34, 17744.43, 17553.57, 17721.25
04/11/16, 17586.48, 17731.63, 17555.90, 17556.41
04/08/16, 17555.39, 17694.51, 17528.16, 17576.96
04/07/16, 17687.28, 17687.28, 17484.23, 17541.96
04/06/16, 17605.45, 17723.55, 17542.54, 17716.05
04/05/16, 17718.03, 17718.03, 17579.56, 17603.32
04/04/16, 17799.39, 17806.38, 17710.67, 17737.00
04/01/16, 17661.74, 17811.48, 17568.02, 17792.75
03/31/16, 17716.05, 17755.70, 17669.72, 17685.09
03/30/16, 17652.36, 17790.11, 17652.36, 17716.66
03/29/16, 17512.58, 17642.81, 17434.27, 17633.11
03/28/16, 17526.08, 17583.81, 17493.03, 17535.39
03/24/16, 17485.33, 17517.14, 17399.01, 17515.73
03/23/16, 17588.81, 17588.81, 17486.27, 17502.59
03/22/16, 17602.71, 17648.94, 17540.42, 17582.57
03/21/16, 17589.70, 17644.97, 17551.28, 17623.87
03/18/16, 17481.49, 17620.58, 17481.49, 17602.30
03/17/16, 17321.38, 17529.01, 17297.65, 17481.49
03/16/16, 17249.34, 17379.18, 17204.07, 17325.76
03/15/16, 17217.15, 17251.70, 17120.35, 17251.53
03/14/16, 17207.49, 17275.07, 17161.16, 17229.13
03/11/16, 17014.99, 17220.09, 17014.99, 17213.31
03/10/16, 17006.05, 17130.11, 16821.86, 16995.13
03/09/16, 16969.17, 17048.50, 16947.94, 17000.36
03/08/16, 17050.67, 17072.79, 16921.51, 16964.10
03/07/16, 16991.29, 17099.25, 16940.48, 17073.95
03/04/16, 16945.00, 17062.38, 16898.84, 17006.77
03/03/16, 16896.17, 16944.31, 16820.73, 16943.90
03/02/16, 16851.17, 16900.17, 16766.32, 16899.32
03/01/16, 16545.67, 16865.56, 16545.67, 16865.08
02/29/16, 16634.15, 16726.12, 16510.40, 16516.50
02/26/16, 16712.70, 16795.98, 16623.91, 16639.97
02/25/16, 16504.38, 16697.98, 16458.42, 16697.29
02/24/16, 16418.84, 16507.39, 16165.86, 16484.99
02/23/16, 16610.39, 16610.39, 16403.53, 16431.78
02/22/16, 16417.13, 16664.24, 16417.13, 16620.66
02/19/16, 16410.96, 16410.96, 16278.00, 16391.99
02/18/16, 16483.76, 16511.84, 16390.43, 16413.43
02/17/16, 16217.98, 16486.12, 16217.98, 16453.83
02/16/16, 16012.39, 16196.41, 16012.39, 16196.41
02/12/16, 15691.62, 15974.04, 15691.62, 15973.84
02/11/16, 15897.82, 15897.82, 15503.01, 15660.18
02/10/16, 16035.61, 16201.89, 15899.91, 15914.74
02/09/16, 16005.41, 16136.62, 15881.11, 16014.38
02/08/16, 16147.51, 16147.51, 15803.55, 16027.05
02/05/16, 16417.95, 16423.63, 16129.81, 16204.97
02/04/16, 16329.67, 16485.84, 16266.16, 16416.58
02/03/16, 16186.20, 16381.69, 15960.45, 16336.66
02/02/16, 16420.21, 16420.21, 16108.44, 16153.54
02/01/16, 16453.63, 16510.98, 16299.47, 16449.18
01/29/16, 16090.26, 16466.30, 16090.26, 16466.30
01/28/16, 15960.28, 16102.14, 15863.72, 16069.64
01/27/16, 16168.74, 16235.03, 15878.30, 15944.46
01/26/16, 15893.16, 16185.79, 15893.16, 16167.23
01/25/16, 16086.46, 16086.46, 15880.15, 15885.22
01/22/16, 15921.10, 16136.79, 15921.10, 16093.51
01/21/16, 15768.87, 16038.59, 15704.66, 15882.68
01/20/16, 15989.45, 15989.45, 15450.56, 15766.74
01/19/16, 16009.45, 16171.96, 15900.25, 16016.02
01/15/16, 16354.33, 16354.33, 15842.11, 15988.08
01/14/16, 16159.01, 16482.05, 16075.12, 16379.05
01/13/16, 16526.63, 16593.51, 16123.20, 16151.41
01/12/16, 16419.11, 16591.35, 16322.07, 16516.22
01/11/16, 16358.71, 16461.85, 16232.03, 16398.57
01/08/16, 16519.17, 16651.89, 16314.57, 16346.45
01/07/16, 16888.36, 16888.36, 16463.63, 16514.10
01/06/16, 17154.83, 17154.83, 16817.62, 16906.51
01/05/16, 17147.50, 17195.84, 17038.61, 17158.66
01/04/16, 17405.48, 17405.48, 16957.63, 17148.94
12/31/15, 17590.66, 17590.66, 17421.16, 17425.03
12/30/15, 17711.94, 17714.13, 17588.87, 17603.87
12/29/15, 17547.37, 17750.02, 17547.37, 17720.98
12/28/15, 17535.66, 17536.90, 17437.34, 17528.27
12/24/15, 17593.26, 17606.34, 17543.95, 17552.17
12/23/15, 17427.63, 17607.92, 17427.63, 17602.61
12/22/15, 17253.55, 17451.11, 17242.86, 17417.27
12/21/15, 17154.94, 17272.36, 17116.73, 17251.62
12/18/15, 17495.04, 17496.58, 17124.31, 17128.55
12/17/15, 17756.54, 17796.76, 17493.50, 17495.84
12/16/15, 17530.85, 17784.36, 17483.68, 17749.09
12/15/15, 17374.78, 17627.63, 17341.18, 17524.91
12/14/15, 17277.11, 17378.02, 17138.47, 17368.50
12/11/15, 17574.75, 17574.75, 17230.50, 17265.21
12/10/15, 17493.17, 17697.74, 17474.66, 17574.75
12/09/15, 17558.18, 17767.69, 17403.51, 17492.30
12/08/15, 17703.99, 17703.99, 17485.39, 17568.00
12/07/15, 17845.49, 17845.49, 17639.25, 17730.51
12/04/15, 17482.68, 17866.47, 17482.68, 17847.63
12/03/15, 17741.57, 17780.59, 17425.56, 17477.67
12/02/15, 17883.14, 17901.58, 17708.20, 17729.68
12/01/15, 17719.72, 17895.50, 17719.72, 17888.35
11/30/15, 17802.84, 17837.24, 17719.79, 17719.92
11/27/15, 17806.04, 17830.36, 17749.32, 17798.49
