Date, Open, High, Low, Close
11/25/16, 6873.90, 6966.45, 6849.75, 6960.75
11/24/16, 6863.25, 6879.30, 6820.15, 6837.50
11/23/16, 6881.20, 6890.15, 6817.35, 6882.65
11/22/16, 6811.75, 6850.40, 6764.25, 6835.30
11/21/16, 6934.35, 6934.35, 6751.15, 6761.55
11/18/16, 6920.55, 6943.55, 6873.05, 6908.50
11/17/16, 6928.45, 6966.50, 6884.85, 6903.45
11/16/16, 7002.00, 7014.25, 6897.75, 6928.10
11/15/16, 7120.90, 7122.20, 6902.90, 6916.45
11/11/16, 7280.45, 7284.75, 7112.55, 7126.50
11/10/16, 7358.05, 7408.80, 7329.90, 7342.30
11/09/16, 6924.95, 7276.70, 6829.80, 7247.45
11/08/16, 7366.35, 7377.60, 7314.25, 7366.05
11/07/16, 7360.75, 7366.95, 7317.85, 7330.95
11/04/16, 7359.70, 7359.90, 7245.50, 7274.10
11/03/16, 7382.75, 7420.00, 7335.75, 7344.10
11/02/16, 7433.55, 7433.55, 7383.30, 7391.40
11/01/16, 7525.25, 7539.10, 7491.80, 7502.20
10/30/16, 7528.65, 7533.60, 7493.95, 7501.45
10/28/16, 7464.55, 7502.20, 7439.35, 7494.10
10/27/16, 7467.15, 7467.80, 7407.10, 7452.15
10/26/16, 7519.30, 7519.30, 7459.30, 7476.75
10/25/16, 7561.05, 7561.25, 7512.50, 7541.50
10/24/16, 7559.00, 7575.45, 7535.35, 7551.55
10/21/16, 7550.00, 7550.10, 7505.15, 7541.70
10/20/16, 7539.35, 7565.50, 7526.50, 7538.80
10/19/16, 7533.65, 7534.30, 7486.10, 7507.70
10/18/16, 7416.15, 7517.30, 7416.00, 7512.30
10/17/16, 7464.15, 7465.45, 7371.35, 7384.50
10/14/16, 7437.90, 7453.05, 7404.00, 7439.85
10/13/16, 7508.30, 7514.35, 7377.20, 7418.35
10/10/16, 7559.50, 7567.45, 7527.95, 7532.70
10/07/16, 7552.40, 7557.90, 7496.85, 7527.20
10/06/16, 7588.85, 7605.65, 7509.75, 7537.25
10/05/16, 7599.40, 7600.55, 7542.65, 7565.50
10/04/16, 7560.60, 7576.10, 7533.05, 7567.70
10/03/16, 7443.15, 7535.00, 7429.50, 7532.25
09/30/16, 7326.60, 7409.15, 7308.85, 7394.85
09/29/16, 7555.70, 7562.00, 7303.95, 7336.85
09/28/16, 7478.25, 7529.70, 7472.05, 7514.95
09/27/16, 7503.50, 7520.50, 7456.00, 7469.95
09/26/16, 7540.95, 7541.15, 7472.15, 7479.75
09/23/16, 7587.70, 7592.45, 7547.15, 7554.90
09/22/16, 7570.40, 7588.30, 7540.95, 7573.00
09/21/16, 7504.65, 7534.10, 7478.45, 7491.70
09/20/16, 7522.90, 7523.85, 7478.10, 7490.30
09/19/16, 7500.10, 7525.90, 7486.05, 7513.80
09/16/16, 7499.10, 7553.80, 7461.45, 7487.20
09/15/16, 7471.00, 7475.35, 7435.20, 7462.70
09/14/16, 7423.40, 7462.75, 7409.85, 7455.30
09/12/16, 7459.70, 7469.50, 7410.10, 7420.50
09/09/16, 7634.50, 7634.50, 7567.60, 7575.55
09/08/16, 7610.55, 7647.50, 7598.20, 7642.70
09/07/16, 7638.15, 7638.55, 7599.85, 7607.20
09/06/16, 7540.80, 7619.95, 7540.80, 7615.00
09/02/16, 7491.50, 7513.90, 7474.75, 7504.60
09/01/16, 7498.25, 7512.30, 7463.60, 7474.30
08/31/16, 7473.90, 7520.45, 7473.90, 7490.65
08/30/16, 7393.00, 7465.55, 7393.00, 7461.95
08/29/16, 7344.60, 7367.85, 7308.10, 7361.00
08/26/16, 7363.30, 7374.30, 7317.90, 7334.80
08/25/16, 7404.10, 7416.05, 7337.20, 7343.50
08/24/16, 7372.95, 7393.35, 7364.10, 7386.05
08/23/16, 7363.85, 7369.55, 7320.90, 7359.75
08/22/16, 7400.60, 7414.00, 7354.15, 7363.80
08/19/16, 7408.15, 7413.30, 7378.95, 7397.80
08/18/16, 7364.65, 7398.65, 7364.65, 7390.20
08/17/16, 7341.25, 7368.25, 7322.85, 7343.70
08/16/16, 7350.60, 7362.85, 7305.45, 7339.25
08/12/16, 7301.00, 7357.30, 7301.00, 7347.45
08/11/16, 7277.65, 7297.60, 7237.90, 7289.50
08/10/16, 7377.60, 7377.60, 7270.10, 7277.00
08/09/16, 7411.90, 7411.90, 7337.85, 7368.45
08/08/16, 7391.30, 7406.40, 7376.45, 7398.25
08/05/16, 7289.55, 7368.20, 7289.55, 7364.05
08/04/16, 7281.70, 7281.70, 7215.40, 7248.55
08/03/16, 7321.55, 7321.55, 7220.65, 7232.80
08/02/16, 7346.15, 7372.35, 7306.75, 7310.90
08/01/16, 7350.25, 7395.00, 7292.35, 7335.05
07/29/16, 7344.50, 7357.45, 7324.40, 7330.00
07/28/16, 7315.70, 7343.80, 7309.95, 7338.65
07/27/16, 7282.50, 7328.15, 7258.00, 7297.90
07/26/16, 7309.10, 7320.80, 7259.90, 7270.00
07/25/16, 7222.55, 7307.60, 7222.55, 7305.60
07/22/16, 7197.00, 7230.10, 7173.90, 7227.45
07/21/16, 7241.85, 7243.70, 7182.65, 7186.70
07/20/16, 7174.00, 7222.75, 7174.00, 7221.30
07/19/16, 7169.25, 7186.20, 7134.55, 7178.20
07/18/16, 7214.30, 7232.00, 7154.55, 7162.25
07/15/16, 7223.60, 7245.05, 7181.50, 7194.40
07/14/16, 7178.40, 7218.25, 7169.65, 7215.35
07/13/16, 7208.90, 7213.10, 7161.05, 7177.00
07/12/16, 7179.50, 7195.10, 7158.20, 7192.25
07/11/16, 7111.65, 7156.75, 7110.40, 7151.35
07/08/16, 7062.25, 7062.25, 7008.05, 7039.40
07/07/16, 7058.85, 7071.75, 7039.70, 7050.10
07/05/16, 7078.45, 7078.45, 7035.20, 7051.00
07/04/16, 7067.05, 7092.10, 7066.75, 7071.85
